username;tweet;fecha;anuncio;ubicacion;id
Dave_Sinclair78;graciascientificos gracias al gobierno de alferdez y cfkargentina por valorar la comunidad cientifica y colocarla como pilar fundamental argentinaunida argentinaessolidaria cuidarteescuidarnos estadopresente;2020-04-10 17:23:36+00:00;Anuncio_3;Rosario, Argentina;1248662929702092801
arielkechu;no sabes como tener notoriedad basico concejal;2020-04-10 14:57:17+00:00;Anuncio_3;Rosario, Argentina;1248626110373351424
BruAdrian;macri rocca y cada uno de los que se llenan los bolsillos a costa de cada argentino alferdez cfkargentina afipcomunica bastadeespeculadores patriamilitante;2020-04-10 00:26:38+00:00;Anuncio_3;Rosario, Argentina;1248407004881620992
nestorstella65;coincido pais inviable por donde lo mires;2020-04-10 23:18:43+00:00;Anuncio_3;Mendoza, Argentina;1248752300820217857
HugoAngelBustos;gracias a todo el pueblo que le dijo no va mas a mauriciomacri hoy podemos estar tranquilos que nos gobiernan alferdez y cfkargentina chau guillodietrich no volveran nunca mas;2020-04-10 10:32:44+00:00;Anuncio_3;Tucumán, Argentina;1248559534832062464
msotomayorarg;generacion de todos un espacio que acompana a alberto y se potencia con una red de voluntariado ante el covid19 cuberosmiguel santicafiero alferdez juanpablobiondi cfkargentina pontifexes;2020-04-10 01:23:53+00:00;Anuncio_3;San Juan, Argentina;1248421411124727808
guilleermocotos;cual rechazo cfkargentina hizo una consulta como siempre deformando y ocultamdo la verdad udsaunque tambien lo tuyo puede ser ignorancia;2020-04-25 23:53:58+00:00;Anuncio_4;Buenos Aires, Argentina;1254196988331032576
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_4;Buenos Aires, Argentina;1243993087531266049
CHAIMA76;por suerte ahora tenemos el mejor equipo de cientificos;2020-04-25 23:40:38+00:00;Anuncio_4;Buenos Aires, Argentina;1254193631906365441
CHAIMA76;que boludo que sos diego te pagan por escribir pelotudeces;2020-04-25 23:38:50+00:00;Anuncio_4;Buenos Aires, Argentina;1254193179768901632
miliades;abrazo;2020-04-25 23:38:28+00:00;Anuncio_4;Buenos Aires, Argentina;1254193089083834368
CHAIMA76;diego;2020-04-25 23:32:40+00:00;Anuncio_4;Buenos Aires, Argentina;1254191628622925824
Pablo78K;che alferdez tenes a cfkargentina a tu lado de vicepresidenta y aun no aprendiste que ella anunciaba una cadena o inicio de un acto y se demoraba cuanto mucho media hora seriedad por favor diferenciate en otras cosas la gente quiere oir y no a los periodistas especular;2020-04-25 23:18:18+00:00;Anuncio_4;Buenos Aires, Argentina;1254188010477936640
abufeliz5;ladrones;2020-04-25 22:47:21+00:00;Anuncio_4;Buenos Aires, Argentina;1254180224763297792
abufeliz5;cfk no sabes lo que es tener honestidad o tan dolo un poco de verguenza quisieras con toda tu fuerza meternos en una dictadura extremadominar nuestros cuerpos y almassin escrupulos;2020-04-25 22:41:21+00:00;Anuncio_4;Buenos Aires, Argentina;1254178711890526210
maripi_97;alferdez juanmanzurok cfkargentina haganse cargo de esta locura que quieren hacer usar de titeres a todo personal de salud por dos mangos sucios al menos sean coherentes y donen su sueldos a las personas que arriesgan su vida por los demas no como ustedes;2020-04-25 22:25:32+00:00;Anuncio_4;Buenos Aires, Argentina;1254174734054539265
patoherrero;hola juan como puedo comunicame con vos podrias mandar mail;2020-04-25 23:40:43+00:00;Anuncio_4;Cordoba, Argentina;1254193655415439361
aqui_desde;gracias por intentar liberarnos por ser un aguila y mirar lo lejos y acercar los suenos gracias por ensenarnos a vivir sin temor pobres pero con la dignidad de decidir gracias por estar en los detalles y por correr tras un mundo imposible de no pensarse mejor;2020-04-25 20:01:18+00:00;Anuncio_4;Cordoba, Argentina;1254138434324770817
_Elenapacheco;jajajajaja les dijo somos independiente uds hacen su reglamento y modificaciones para sesionar en esta pandemia ahora ninguno podra oponerse a la virtualidad que clarincom le avise a suarez lastra besitos;2020-04-25 17:47:08+00:00;Anuncio_4;Cordoba, Argentina;1254104673449127940
_Elenapacheco;bravo genias vos y gracepenafort mujeres tenian que ser;2020-04-25 17:44:27+00:00;Anuncio_4;Cordoba, Argentina;1254103997620895746
_Elenapacheco;el problema de todos estos es que cfkargentina sigue demostrando que esta un paso adelante de todos doble enojo porque es mujer pobres machirulos;2020-04-25 17:30:10+00:00;Anuncio_4;Cordoba, Argentina;1254100403689525249
